condition,episode,episode_idx,save_idx,raw_chunk_id,path,high_low_projection_score,dist_to_high_proto,dist_to_low_proto,dist_to_baseline_proto,prototype_label,is_lift_chunk
baseline,episode_000005,5,4,4,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_4_004_observation_frame.pt,-1.992734432220459,2.9421634674072266,0.3184530436992645,0.8019495010375977,low_like,0
baseline,episode_000006,6,0,0,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_0_000_observation_frame.pt,-1.730178952217102,0.7537814378738403,0.16986317932605743,0.2103656530380249,low_like,1
baseline,episode_000006,6,1,1,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_1_001_observation_frame.pt,-0.5930506587028503,2.6077961921691895,1.1405558586120605,1.5591025352478027,low_like,0
baseline,episode_000006,6,2,2,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_2_002_observation_frame.pt,-1.1162950992584229,1.3847044706344604,0.2928043007850647,0.45434755086898804,low_like,1
baseline,episode_000006,6,3,3,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_3_003_observation_frame.pt,-2.7275772094726562,1.2778303623199463,0.6112115979194641,0.3994441032409668,low_like,1
baseline,episode_000006,6,4,4,debug_runs/20260529_110106_baseline/episode_000006/debug_chunk_rawid_4_004_observation_frame.pt,-1.5922682285308838,2.5791163444519043,0.5445271730422974,0.452437162399292,low_like,0
baseline,episode_000007,7,0,0,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_0_000_observation_frame.pt,-1.5249911546707153,0.5734502077102661,0.32693272829055786,0.11304710805416107,low_like,1
baseline,episode_000007,7,1,1,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,1.7131162881851196,0.36798784136772156,1.2119168043136597,0.7948557138442993,high_like,0
baseline,episode_000007,7,2,2,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_2_002_observation_frame.pt,-0.6346051692962646,1.286990761756897,0.9835784435272217,0.8141689300537109,low_like,1
baseline,episode_000007,7,3,3,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_3_003_observation_frame.pt,-2.8625974655151367,1.686385989189148,1.1112579107284546,0.6542841792106628,low_like,1
baseline,episode_000007,7,4,4,debug_runs/20260529_110106_baseline/episode_000007/debug_chunk_rawid_4_004_observation_frame.pt,-1.9660476446151733,2.9162397384643555,0.3100298047065735,0.7832934260368347,low_like,0
baseline,episode_000008,8,0,0,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_0_000_observation_frame.pt,-1.5893867015838623,0.6373346447944641,0.2909156084060669,0.12730129063129425,low_like,1
baseline,episode_000008,8,1,1,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,0.8894010186195374,1.122678279876709,0.3912861943244934,0.11573120206594467,low_like,0
baseline,episode_000008,8,2,2,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_2_002_observation_frame.pt,-0.9929925799369812,1.2836967706680298,0.3297364413738251,0.32561156153678894,low_like,1
baseline,episode_000008,8,3,3,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_3_003_observation_frame.pt,-2.8273544311523438,1.6165235042572021,1.046628713607788,0.5600866079330444,low_like,1
baseline,episode_000008,8,4,4,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_4_004_observation_frame.pt,-1.9233262538909912,2.864891767501831,0.18416865170001984,0.7578560709953308,low_like,0
baseline,episode_000009,9,0,0,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,-1.412143349647522,0.5093203186988831,0.46042758226394653,0.21428437530994415,low_like,1
baseline,episode_000009,9,1,1,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,1.5544217824935913,0.4869075119495392,1.0489050149917603,0.6300057172775269,high_like,0
baseline,episode_000009,9,2,2,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,-0.8308013677597046,1.1260359287261963,0.33702442049980164,0.29247212409973145,low_like,1
baseline,episode_000009,9,3,3,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,-2.4453556537628174,0.9419273734092712,0.599143922328949,0.3172546625137329,low_like,1
baseline,episode_000009,9,4,4,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_4_004_observation_frame.pt,-1.182227373123169,2.3126742839813232,1.115931510925293,0.6893655061721802,low_like,0
high,episode_000000,0,0,0,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,-0.9623132348060608,0.670926034450531,1.048093318939209,0.9433611035346985,high_like,1
high,episode_000000,0,1,1,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,2.007786989212036,0.1915472000837326,1.4977024793624878,1.0853220224380493,high_like,0
high,episode_000000,0,2,2,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,-0.5407710671424866,1.1530059576034546,0.929039716720581,0.7392768263816833,low_like,1
high,episode_000000,0,3,3,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt,-2.089357852935791,1.4015392065048218,1.5356345176696777,0.8670305609703064,high_like,1
high,episode_000000,0,4,4,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,-1.5897188186645508,2.5417327880859375,0.3450751304626465,0.3929581642150879,low_like,0
high,episode_000001,1,0,0,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,-0.9899091720581055,0.07979460060596466,0.7823306322097778,0.5797796249389648,high_like,1
high,episode_000001,1,1,1,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,2.0587973594665527,0.13721394538879395,1.5415546894073486,1.1301994323730469,high_like,0
high,episode_000001,1,2,2,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,0.728620707988739,0.839246392250061,1.8026403188705444,1.6759438514709473,high_like,1
high,episode_000001,1,3,3,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_3_003_observation_frame.pt,-1.1157017946243286,1.074920654296875,2.017747402191162,2.034566879272461,high_like,1
high,episode_000001,1,4,4,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_4_004_observation_frame.pt,2.2489511966705322,1.3523218631744385,4.070816993713379,3.520392417907715,high_like,0
high,episode_000002,2,0,0,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_0_000_observation_frame.pt,-0.9268985986709595,0.12697280943393707,0.8480904698371887,0.6286041736602783,high_like,1
high,episode_000002,2,1,1,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_1_001_observation_frame.pt,2.0523149967193604,0.11931084096431732,1.533815860748291,1.113006591796875,high_like,0
high,episode_000002,2,2,2,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_2_002_observation_frame.pt,0.7269481420516968,0.7683669328689575,1.7696319818496704,1.6276224851608276,high_like,1
high,episode_000002,2,3,3,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_3_003_observation_frame.pt,-1.280523419380188,0.9542260766029358,1.8437656164169312,1.915766954421997,high_like,1
high,episode_000002,2,4,4,debug_runs/20260529_112158_high/episode_000002/debug_chunk_rawid_4_004_observation_frame.pt,2.214716911315918,1.3018149137496948,4.031062602996826,3.459447145462036,high_like,0
