condition,episode,episode_idx,save_idx,phase_target,phase_error,eef_z,path,action_key,action_dim,action_value
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-14.831205368041992
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.96097564697266
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.4957780838012695
high,episode_000007,7,1,0.0,0.0,0.008607450359543425,debug_runs/20260529_112158_high/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,46.855804443359375
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.091114044189453
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,36.47622299194336
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-13.764581680297852
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-71.45838928222656
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.548348426818848
high,episode_000008,8,1,0.0,0.0,0.0061969667794369715,debug_runs/20260529_112158_high/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,41.627960205078125
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.0,0,-9.204647064208984
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.1,1,35.74775695800781
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.2,2,-13.305883407592773
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.3,3,-70.45699310302734
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.4,4,-7.174910545349121
high,episode_000009,9,1,0.0,0.0,0.006699773602834649,debug_runs/20260529_112158_high/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,action_values.5,5,47.53935241699219
low,episode_000000,0,0,0.0,0.0,0.014901075721451287,debug_runs/20260529_112911_low/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,action_values.0,0,-7.38768196105957
