condition,condition_root,episode,episode_idx,save_idx,raw_chunk_id,eef_z,path,filename,task,metadata_intervention,state_dim,num_action_dims,num_obs_dims,eef_z_start,eef_z_delta_from_start,eef_z_min,eef_z_max,eef_z_range,eef_z_norm_in_episode,peak_chunk,eef_height_phase
baseline,debug_runs/20260529_110106_baseline,episode_000008,8,4,4,0.01750350378879169,debug_runs/20260529_110106_baseline/episode_000008/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.01599280916604104,0.0015106946227506496,0.01599280916604104,0.059916553478630626,0.04392374431258959,0.03439357564782219,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000009,9,0,0,0.015721313507345805,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015721313507345805,0.0,0.008293611572567763,0.07778543239091226,0.0694918208183445,0.10688598812505531,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000009,9,1,1,0.008293611572567763,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015721313507345805,-0.0074277019347780415,0.008293611572567763,0.07778543239091226,0.0694918208183445,0.0,2,low_height
baseline,debug_runs/20260529_110106_baseline,episode_000009,9,2,2,0.07778543239091226,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015721313507345805,0.06206411888356646,0.008293611572567763,0.07778543239091226,0.0694918208183445,1.0,2,near_peak
baseline,debug_runs/20260529_110106_baseline,episode_000009,9,3,3,0.056983284844980324,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015721313507345805,0.04126197133763452,0.008293611572567763,0.07778543239091226,0.0694918208183445,0.7006532955826569,2,high_height
baseline,debug_runs/20260529_110106_baseline,episode_000009,9,4,4,0.03730647980218417,debug_runs/20260529_110106_baseline/episode_000009/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,baseline,6,6,2310,0.015721313507345805,0.021585166294838365,0.008293611572567763,0.07778543239091226,0.0694918208183445,0.41750047542224666,2,mid_height
high,debug_runs/20260529_112158_high,episode_000000,0,0,0,0.014158514272451725,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.014158514272451725,0.0,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.05466128818940402,2,low_height
high,debug_runs/20260529_112158_high,episode_000000,0,1,1,0.009716758176325016,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.014158514272451725,-0.004441756096126709,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.0,2,low_height
high,debug_runs/20260529_112158_high,episode_000000,0,2,2,0.09097638895443269,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.014158514272451725,0.07681787468198097,0.009716758176325016,0.09097638895443269,0.08125963077810767,1.0,2,near_peak
high,debug_runs/20260529_112158_high,episode_000000,0,3,3,0.06767051001726332,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_3_003_observation_frame.pt,debug_chunk_rawid_3_003_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.014158514272451725,0.053511995744811594,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.7131924091458184,2,high_height
high,debug_runs/20260529_112158_high,episode_000000,0,4,4,0.019786055144943485,debug_runs/20260529_112158_high/episode_000000/debug_chunk_rawid_4_004_observation_frame.pt,debug_chunk_rawid_4_004_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.014158514272451725,0.00562754087249176,0.009716758176325016,0.09097638895443269,0.08125963077810767,0.12391512085643464,2,low_height
high,debug_runs/20260529_112158_high,episode_000001,1,0,0,0.015992823842293585,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_0_000_observation_frame.pt,debug_chunk_rawid_0_000_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015992823842293585,0.0,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.0901854279610747,2,low_height
high,debug_runs/20260529_112158_high,episode_000001,1,1,1,0.007195553532914387,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_1_001_observation_frame.pt,debug_chunk_rawid_1_001_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015992823842293585,-0.008797270309379199,0.007195553532914387,0.10474202537730397,0.09754647184438958,0.0,2,low_height
high,debug_runs/20260529_112158_high,episode_000001,1,2,2,0.10474202537730397,debug_runs/20260529_112158_high/episode_000001/debug_chunk_rawid_2_002_observation_frame.pt,debug_chunk_rawid_2_002_observation_frame.pt,Put the red cube in the box.,high,6,6,2310,0.015992823842293585,0.08874920153501038,0.007195553532914387,0.10474202537730397,0.09754647184438958,1.0,2,near_peak
