condition,episode,episode_idx,save_idx,action_key,action_dim,action_value,path
baseline,episode_000005,5,0,action_values.2,2,7.835529327392578,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000005,5,0,action_values.3,3,-87.90398406982422,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000005,5,0,action_values.4,4,-9.024487495422363,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000005,5,0,action_values.5,5,48.627159118652344,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_0_000_observation_frame.pt
baseline,episode_000005,5,1,action_values.0,0,-10.681962013244629,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,1,action_values.1,1,33.871185302734375,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,1,action_values.2,2,-16.236270904541016,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,1,action_values.3,3,-75.50344848632812,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,1,action_values.4,4,-8.194588661193848,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,1,action_values.5,5,47.6433219909668,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_1_001_observation_frame.pt
baseline,episode_000005,5,2,action_values.0,0,-5.640755653381348,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,2,action_values.1,1,43.241554260253906,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,2,action_values.2,2,-46.47807312011719,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,2,action_values.3,3,-96.12286376953125,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,2,action_values.4,4,-5.548439979553223,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,2,action_values.5,5,3.3851165771484375,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_2_002_observation_frame.pt
baseline,episode_000005,5,3,action_values.0,0,13.831161499023438,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000005,5,3,action_values.1,1,19.77117156982422,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000005,5,3,action_values.2,2,-53.32891082763672,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt
baseline,episode_000005,5,3,action_values.3,3,-92.9570541381836,debug_runs/20260529_110106_baseline/episode_000005/debug_chunk_rawid_3_003_observation_frame.pt
