trial,is_decision_step,episode_idx,seq_pos,chunk_idx,source_path,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,task,lift_eef_z,predicted_action_eef_z
8,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
9,True,7,1,1,debug_runs/20260605_115612_Stable/episode_000007/debug_chunk_rawid_1_001_observation_frame.pt,-10.92094612121582,83.00907135009766,-1.3721427917480469,-89.20684814453125,-5.15262508392334,63.01387023925781,Put the red cube in the box.,0.11548998865589251,0.25543661897203607
0,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
1,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
2,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
3,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
4,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
5,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
6,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
7,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
8,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
9,True,8,1,1,debug_runs/20260605_115612_Stable/episode_000008/debug_chunk_rawid_1_001_observation_frame.pt,-10.7066068649292,83.08869171142578,-1.7934646606445312,-88.7893295288086,-5.226408004760742,60.99476623535156,Put the red cube in the box.,0.10712055059456174,0.25616988867678425
0,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
1,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
2,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
3,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
4,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
5,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
6,True,9,1,1,debug_runs/20260605_115612_Stable/episode_000009/debug_chunk_rawid_1_001_observation_frame.pt,-11.099614143371582,82.85704040527344,-1.3556652069091797,-89.6607437133789,-5.409208297729492,58.04664611816406,Put the red cube in the box.,0.11653822697714647,0.2553033762360387
